episode,reward,avg_latency,avg_cost,avg_energy
0,-4.310493914368377e+100,2.2686810075623037e+98,1.2510309848252097,-53.301188185041696
1,-7.577127070751817e+100,3.987961616185166e+98,1.2707678269304727,-54.35102358299907
2,-7.584105147114678e+100,3.991634287955093e+98,1.2369783532462622,-52.256548909516134
3,-7.57013643894291e+100,3.9842823362857415e+98,1.2447678269304727,-52.49892666507358
4,-7.584082721196537e+100,3.991622484840282e+98,1.2738204585094202,-54.36020123294854
5,-7.206015004723485e+100,3.7926394761702546e+98,1.2487678269304727,-53.303341642149114
6,-9.117045004386638e+99,4.798444739150862e+97,1.2467678269304727,-53.61143276159196
7,-3.932058131528383e+100,2.069504279751781e+98,1.2434520374567886,-53.801465149594975
8,-4.303480671187134e+100,2.2649898269405975e+98,1.2508730900883676,-53.644953933293934
9,-7.584058525310369e+100,3.991609750163351e+98,1.2368730900883675,-51.949471028144416
10,-6.6892123212810345e+100,3.5206380638321237e+98,1.2686625637725781,-53.27675314528713
11,-7.0714514948754e+100,3.7218165762502096e+98,1.2601362479831044,-53.70766871219202
12,-7.580415089985935e+100,3.9896921526241756e+98,1.2618730900883675,-53.99389269307581
13,-7.584052562150553e+100,3.991606611658185e+98,1.2612415111409991,-53.572237775365636
14,-9.082943860106448e+99,4.780496768477077e+97,1.2395573006146834,-52.375655649867525
15,-7.070521089445647e+100,3.721326889181918e+98,1.2334520374567886,-52.43928572509906
16,-3.928260128245853e+100,2.0675053306557124e+98,1.2537678269304726,-53.338124001008545
17,-7.20178100807988e+100,3.7904110568841455e+98,1.251504669035736,-52.92110155486456
18,-7.576730665723134e+100,3.9877529819595436e+98,1.2650309848252097,-53.9324324822918
19,-7.188788394949381e+100,3.7835728394470415e+98,1.2443467742988938,-51.78811681183708
20,-3.660503215936134e+100,1.9265806399663866e+98,1.258504669035736,-53.34145609186712
21,-7.20606841485993e+100,3.7926675867683825e+98,1.2504520374567885,-52.99725919015135
22,-7.184277404905328e+100,3.781198634160699e+98,1.257925721667315,-51.99482379839163
23,-6.691591733239668e+100,3.5218903859156156e+98,1.2475046690357359,-52.67665251261022
24,-5.303035158954919e+99,2.791071136292063e+97,1.2566099321936308,-53.98148753765035
25,-4.293787642355413e+100,2.259888232818639e+98,1.2310309848252097,-52.25854138841436
26,-7.206068262648585e+100,3.7926675066571485e+98,1.2471888795620516,-53.270684342636436
27,-7.063979752181604e+100,3.7178840800955803e+98,1.213662563772578,-51.254010574920855
28,-7.574390330982227e+100,3.98652122683275e+98,1.2323994058778411,-52.268792566704406
29,-4.1758597926827835e+100,2.197820943517255e+98,1.2528204585094203,-53.053065881270584
30,-7.567323698088041e+100,3.982801946362127e+98,1.2458204585094201,-53.35721608665578
31,-7.07005644035401e+100,3.721082337028425e+98,1.251662563772578,-52.874909054754596
32,-7.576272166058797e+100,3.9875116663467347e+98,1.2492415111409991,-52.52470529404371
33,-3.9324262019618545e+100,2.0696980010325554e+98,1.2457151953515253,-52.37599957378998
34,-3.670224657473167e+100,1.9316971881437724e+98,1.257083616404157,-53.918736826353495
35,-7.579495883575008e+100,3.9892083597763194e+98,1.2557678269304726,-52.90671737026682
36,-3.781495228319207e+100,1.9902606464837938e+98,1.2326099321936308,-52.58389028609584
37,-3.6730079841311355e+100,1.9331620969111244e+98,1.2428730900883675,-52.111523431667955
38,-4.186177417939532e+100,2.2032512725997542e+98,1.2539783532462623,-53.22003452679297
39,-7.2060682626016e+100,3.7926675066324195e+98,1.2498730900883674,-52.49118361203502
40,-7.574383760213135e+100,3.9865177685332286e+98,1.2493467742988937,-52.60280415890929
41,-7.580754875453641e+100,3.989870987080862e+98,1.2552941427199464,-52.57539080705258
42,-4.1819432445953555e+100,2.2010227603133454e+98,1.2520836164041569,-53.50555367142845
43,-7.584059271193824e+100,3.9916101427335906e+98,1.2571888795620516,-53.36957792001983
44,-7.063565286735264e+100,3.71766594038698e+98,1.2689783532462622,-53.350656835679146
45,-4.3100947663673524e+100,2.268470929667028e+98,1.2576099321936307,-53.43952207123073
46,-4.31011910074205e+100,2.2684837372326584e+98,1.2311888795620518,-51.82013520782964
47,-4.174132065737715e+100,2.196911613546166e+98,1.2702941427199466,-53.656867588713304
48,-7.571054971578764e+100,3.9847657745151374e+98,1.2523467742988939,-53.88311507614794
49,-7.579027103645938e+100,3.9889616334978615e+98,1.2547678269304727,-54.001130066005125
